"","Cell type","Expression level"
"1","AIM",180.731
"2","PDE",152.037
"3","PVT",124.197
"4","RIR",105.373
"5","HSN",98.104
"6","AVD",93.932
"7","BAG",93.21
"8","DA",90.231
"9","AVF",76.333
"10","AVG",75.743
"11","MC",75.54
"12","PDA",66.604
"13","M1",60.816
"14","M5",57.966
"15","RMD_DV",57.593
"16","AQR",53.023
"17","AVL",47.974
"18","ASEL",45.862
"19","RMH",45.164
"20","AUA",43.821
"21","RIB",41.892
"22","I3",41.228
"23","M4",40.611
"24","AS",40.161
"25","DB",37.413
"26","I5",34.657
"27","AWC_OFF",34.227
"28","MI",33.808
"29","RIC",33.082
"30","BDU",32.806
"31","RIG",32.637
"32","M2",32.317
"33","ASK",30.378
"34","VB",29.505
"35","SDQ",29.06
"36","SMD",28.152
"37","ASI",27.798
"38","ASG",27.62
"39","RIV",26.77
"40","AVJ",26.257
"41","AVH",24.667
"42","RIM",24.548
"43","DB01",23.965
"44","PVR",23.867
"45","RIH",23.52
"46","PVP",23.348
"47","RIP",22.737
"48","ADA",22.574
"49","NSM",22.164
"50","AIA",21.977
"51","ADL",20.232
"52","AIZ",20.116
"53","AIY",19.654
"54","PVC",19.614
"55","RID",19.274
"56","VA12",19.028
"57","PVW",18.967
"58","PQR",18.116
"59","DVB",16.401
"60","URX",15.849
"61","ASER",15.23
"62","AWA",15.147
"63","VA",15.094
"64","AVM",15.055
"65","SMB",14.829
"66","RMD_LR",14.622
"67","AVA",14.557
"68","VB01",14.467
"69","I4",14.156
"70","ASJ",14.096
"71","AFD",12.707
"72","ASH",12.427
"73","DVC",11.655
"74","AWC_ON",11.23
"75","VC_4_5",10.822
"76","I1",10.787
"77","IL2_DV",10.787
"78","VB02",10.25
"79","ALA",10.016
"80","ADE",9.91
"81","CEP",9.835
"82","ADF",9.748
"83","PVM",9.252
"84","AIN",8.643
"85","CAN",8.483
"86","VD_DD",8.415
"87","AVE",8.304
"88","AIB",8.118
"89","PVQ",7.824
"90","SIA",7.444
"91","RIA",7.424
"92","ALM",7.26
"93","URA",6.999
"94","PVD",6.996
"95","URB",6.896
"96","RIF",6.735
"97","PHA",6.646
"98","VC",6.324
"99","PLN",5.178
"100","SAB",5.144
"101","PLM",5.114
"102","AWB",4.974
"103","IL2_LR",3.068
"104","RMF",1.368
"105","RME_DV",0.809
