"","Cell type","Expression level"
"1","AIM",763.248
"2","URY",686.731
"3","PHA",576.309
"4","RIB",558.315
"5","AIA",548.615
"6","ASEL",535.935
"7","RIG",511.521
"8","ALN",493.468
"9","PVN",365.776
"10","RIM",354.353
"11","AWC_OFF",331.56
"12","PHB",324.793
"13","ASER",312.643
"14","LUA",296.171
"15","AVG",295.58
"16","SMB",292.378
"17","AWC_ON",289.737
"18","SAA",255.575
"19","ASH",250.49
"20","RMD_DV",244.098
"21","RIF",234.062
"22","RID",233.58
"23","RME_DV",221.483
"24","OLQ",220.183
"25","ASK",217.561
"26","AWB",214.34
"27","HSN",211.053
"28","AUA",208.723
"29","URX",194.989
"30","PHC",184.086
"31","ASG",183.908
"32","DA",181.631
"33","SMD",169.67
"34","PVW",167.925
"35","AVA",156.07
"36","RMD_LR",154.068
"37","PLN",137.867
"38","DB",137.488
"39","RIA",137.16
"40","PQR",132.202
"41","AIB",131.333
"42","AS",129.517
"43","ALA",129.394
"44","ADF",126.158
"45","I1",125.065
"46","VA",113.381
"47","AQR",111.671
"48","SIB",105.198
"49","AIZ",104.029
"50","DB01",102.439
"51","RMG",100.579
"52","VB",100.518
"53","VD_DD",100.368
"54","DVA",97.861
"55","PVR",97.657
"56","NSM",96.157
"57","VB02",91.549
"58","VB01",90.193
"59","ALM",89.328
"60","AVD",89.073
"61","RIV",86.654
"62","SIA",85.625
"63","AVM",85.617
"64","BDU",85.584
"65","CEP",85.024
"66","AVE",84.978
"67","SAB",83.995
"68","BAG",82.636
"69","AVF",81.072
"70","PDA",80.715
"71","PLM",80.577
"72","RME_LR",80.482
"73","RIC",79.48
"74","RIS",76.95
"75","AVB",76.462
"76","RIH",75.058
"77","AIY",74.808
"78","PVQ",74.519
"79","PDE",73.779
"80","SDQ",72.916
"81","ADE",68.65
"82","ASI",66.379
"83","PVP",65.931
"84","AIN",61.556
"85","PVC",61.083
"86","RIP",57.005
"87","RMH",46.157
"88","DVB",43.526
"89","DVC",42.294
"90","ADA",39.862
"91","AVJ",39.65
"92","RMF",36.188
"93","IL2_LR",32.46
"94","OLL",31.166
"95","PVD",29.808
"96","AFD",27.585
"97","DA9",26.343
"98","URB",26.235
"99","AVK",22.92
"100","ADL",17.168
"101","PVT",12.464
"102","PDB",12.091
"103","VA12",9.793
"104","PVM",8.349
"105","AWA",7.789
"106","AVH",7.564
