pre	post	type	synapses
ADAL	ADAR	electrical	1
ADAL	ASHL	electrical	1
ADAL	AVAL	chemical	2
ADAL	AVAR	chemical	1
ADAL	AVBL	chemical	16
ADAL	AVBR	chemical	6
ADAL	AVDL	electrical	1
ADAL	AVDR	chemical	1
ADAL	AVDR	electrical	1
ADAL	AVJL	chemical	1
ADAL	AVJR	chemical	7
ADAL	AWBL	electrical	1
ADAL	OLQVL	chemical	1
ADAL	OLQVL	electrical	1
ADAL	RIML	chemical	6
ADAL	RIPL	chemical	6
ADAL	RIPR	chemical	2
ADAL	RMFL	chemical	2
ADAL	SAADL	chemical	1
ADAL	SMDVR	chemical	1
ADAR	ADFR	electrical	1
ADAR	ASHR	electrical	2
ADAR	AVAL	chemical	1
ADAR	AVAR	chemical	1
ADAR	AVBL	chemical	5
ADAR	AVBR	chemical	18
ADAR	AVER	chemical	1
ADAR	AVJL	chemical	10
ADAR	AWBR	electrical	1
ADAR	PVQR	electrical	1
ADAR	RICR	chemical	1
ADAR	RIMR	chemical	5
ADAR	RIPR	chemical	3
ADAR	RMFR	chemical	2
ADAR	SMDVL	chemical	1
ADEL	ADAL	chemical	1
ADEL	ADEL	chemical	1
ADEL	ADER	chemical	4
ADEL	ALNL	chemical	1
ADEL	AVAL	chemical	1
ADEL	AVAR	chemical	3
ADEL	AVKR	chemical	1
ADEL	CEPDL	chemical	2
ADEL	CEPshDR	chemical	1
ADEL	CEPVL	chemical	1
ADEL	IL1L	chemical	1
ADEL	IL2L	chemical	1
ADEL	PVT	chemical	1
ADEL	RIFL	chemical	1
ADEL	RIGL	chemical	6
ADEL	RIGR	chemical	12
ADEL	RIVL	chemical	1
ADEL	RIVR	chemical	2
ADEL	RMDDR	chemical	2
ADEL	RMDL	chemical	3
ADEL	RMFR	chemical	4
ADEL	RMHR	chemical	2
ADEL	SAADR	chemical	2
ADEL	SDQL	chemical	1
ADEL	SMBDR	chemical	2
ADEL	SMDDR	chemical	1
ADEL	SMDVL	chemical	1
ADER	ADAR	chemical	1
ADER	ADEL	chemical	3
ADER	AINR	chemical	2
ADER	ALMR	chemical	1
ADER	ALNR	chemical	1
ADER	AVAL	chemical	4
ADER	AVAR	chemical	1
ADER	AVDR	chemical	2
ADER	AVER	chemical	1
ADER	AVKR	chemical	3
ADER	CEPDR	chemical	1
ADER	CEPshVR	chemical	5
ADER	CEPVR	chemical	1
ADER	FLPL	chemical	1
ADER	IL1R	chemical	4
ADER	IL2R	chemical	3
ADER	OLLR	chemical	2
ADER	PVR	chemical	2
ADER	PVT	chemical	1
ADER	RIGL	chemical	10
ADER	RIGR	chemical	6
ADER	RIVR	chemical	3
ADER	RMDL	chemical	1
ADER	RMDR	chemical	2
ADER	RMFL	chemical	1
ADER	SAADL	chemical	1
ADER	SAAVL	chemical	1
ADER	SIADL	chemical	1
ADER	SMBVR	chemical	1
ADER	URBR	chemical	1
ADFL	ADFR	electrical	1
ADFL	AIAL	chemical	2
ADFL	AIBL	chemical	1
ADFL	AIBR	chemical	1
ADFL	AIZL	chemical	18
ADFL	ASHL	chemical	1
ADFL	AVHR	chemical	1
ADFL	AWBL	chemical	1
ADFL	BAGR	chemical	1
ADFL	OLQVL	chemical	1
ADFL	RIAL	chemical	17
ADFL	RIGL	chemical	3
ADFL	RIR	chemical	2
ADFL	SMBVL	chemical	5
ADFL	URXL	chemical	2
ADFR	AIZR	chemical	13
ADFR	AUAR	chemical	3
ADFR	AWBR	chemical	1
ADFR	OLQVR	chemical	1
ADFR	RIAR	chemical	12
ADFR	RIGR	chemical	4
ADFR	RIH	chemical	1
ADFR	RIR	chemical	5
ADFR	SIBVR	chemical	1
ADFR	SMBDR	chemical	1
ADFR	SMBVR	chemical	3
ADLL	ADAL	chemical	2
ADLL	AIAL	chemical	8
ADLL	AIBL	chemical	18
ADLL	ASEL	chemical	1
ADLL	ASGL	chemical	1
ADLL	ASHL	chemical	9
ADLL	ASKL	chemical	5
ADLL	AVAL	chemical	16
ADLL	AVBL	chemical	1
ADLL	AVDL	chemical	1
ADLL	AVDR	chemical	15
ADLL	AVEL	chemical	1
ADLL	AVHR	chemical	1
ADLL	AVJL	chemical	1
ADLL	AVJR	chemical	3
ADLL	AWAL	chemical	1
ADLL	AWBL	chemical	1
ADLL	AWCL	chemical	2
ADLL	AWCR	chemical	1
ADLL	PVCL	chemical	1
ADLL	SMBVL	chemical	9
ADLR	ADLL	electrical	1
ADLR	AIAR	chemical	13
ADLR	AIBR	chemical	12
ADLR	ASER	chemical	2
ADLR	ASHR	chemical	3
ADLR	AVAL	chemical	3
ADLR	AVAR	chemical	11
ADLR	AVDL	chemical	9
ADLR	AVDR	chemical	1
ADLR	AVJR	chemical	1
ADLR	AWAR	chemical	1
ADLR	AWBR	chemical	1
ADLR	AWCR	chemical	10
ADLR	OLQVR	chemical	2
ADLR	PVCR	chemical	1
ADLR	SMBVR	chemical	1
ADLR	URYVR	chemical	1
AFDL	AFDR	electrical	1
AFDL	AINR	chemical	1
AFDL	AIYL	chemical	10
AFDL	AIZL	chemical	1
AFDL	ASER	chemical	1
AFDL	AWBL	chemical	1
AFDL	BAGR	chemical	1
AFDR	AIYR	chemical	10
AFDR	BAGL	chemical	2
AIAL	ADAL	chemical	3
AIAL	ADFL	electrical	3
AIAL	ADLL	chemical	4
AIAL	AIAL	electrical	1
AIAL	AIAR	electrical	1
AIAL	AIBL	chemical	16
AIAL	AINR	electrical	1
AIAL	ASER	chemical	1
AIAL	ASGL	chemical	1
AIAL	ASIL	electrical	2
AIAL	ASKL	chemical	2
AIAL	AWAL	electrical	5
AIAL	AWCL	chemical	1
AIAL	AWCR	chemical	7
AIAL	RIFL	chemical	1
AIAL	URXL	electrical	2
AIAR	ADAR	chemical	2
AIAR	ADFR	electrical	2
AIAR	ADLR	chemical	3
AIAR	AIAR	electrical	1
AIAR	AIBR	chemical	18
AIAR	AINL	electrical	1
AIAR	ASGR	chemical	2
AIAR	ASIL	chemical	1
AIAR	ASIR	electrical	3
AIAR	ASKR	chemical	1
AIAR	AWAR	electrical	3
AIAR	AWBR	electrical	2
AIAR	AWCL	chemical	1
AIAR	AWCR	chemical	12
AIAR	PVQR	chemical	1
AIAR	RIFR	chemical	2
AIAR	URXR	electrical	2
AIBL	ADLL	chemical	1
AIBL	AIAL	chemical	1
AIBL	AIBR	chemical	2
AIBL	AIBR	electrical	1
AIBL	AIYL	chemical	1
AIBL	ASKL	electrical	1
AIBL	AUAL	chemical	1
AIBL	AUAR	chemical	1
AIBL	AVAL	chemical	1
AIBL	AVAR	chemical	1
AIBL	AVBL	chemical	7
AIBL	BAGL	chemical	1
AIBL	DVC	electrical	1
AIBL	RIBL	chemical	1
AIBL	RIBR	chemical	10
AIBL	RIGR	chemical	2
AIBL	RIMR	chemical	23
