,gene_name,X,threshold,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN,AQR,AS,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC_OFF,AWC_ON,BAG,BDU,CAN,CEP,DA,DA9,DB,DB01,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PLN,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,URA,URB,URX,URY,VA,VA12,VB,VB01,VB02,VC,VC_4_5,VD_DD
16710,Y37E11AL.1,WBGene00021357,2,409.1345486,0,0,0,0,0,0,0,0,0,0,0,53.04561062,106.6414358,167.2324498,0,0,0,0,15.99079188,0,0,161.432441,0,0,0,0,0,44.2840264,76.10090747,0,0,0,0,0,8.475666124,0,0,0,0,0,0,67.56419928,0,0,0,0,0,0,16.17571343,0,0,0,0,0,0,0,0,51.32140246,0,0,0,8.921593827,0,0,0,0,0,0,0,155.6630624,296.6709845,0,16.88569821,0,0,0,88.33378632,0,21.40599094,0,0,0,0,0,0,0,0,0,0,0,234.2788601,0,0,9.519297407,0,171.5127868,12.30016625,145.1970308,0,0,0,0,0,0,214.0213483,0,14.69010274,0,0,0,0,0,0,0,0,82.93278435,21.31889173,0,259.4965563,0,0,0,0,0,0,0,192.0131996
30110,npr-12,WBGene00020689,2,21.42440191,103.5634416,22.61397695,0,0,34.84999187,0,0,51.56093756,0,69.15263886,0,3.577417261,0,88.88293533,0,0,47.86284101,10.83881242,0,0,0,0,0,137.0685688,0,504.2915939,22.84503307,6.582103676,26.50866299,132.4283249,0,0,0,30.65561702,0,0,0,0,0,10.32539834,0,0,0,0,48.41525256,101.8269059,9.283265443,0,124.0176733,0,33.2268875,36.74863643,0,0,0,0,79.34695612,0,0,48.30853238,0,0,0,0,0,0,0,0,0,0,0,0,0,73.75607048,0,0,19.06455664,34.92833334,0,19.97505305,125.275392,4.321495883,148.6270638,0,0,11.79269979,67.50742359,0,196.9810872,152.1215027,0,0,0,27.70023718,220.2032053,0,0,8.931850356,0,0,0,56.03869802,0,0,0,0,0,0,0,21.12171335,0,336.1719641,0,0,0,0,12.64059591,96.33322947,0,0,52.20256809,27.14023364,9.252498636,53.60078658,0,0,0
46711,npr-2,WBGene00003808,2,146.021342,0,0,28.35318512,0,0,0,714.8710144,671.8215715,0,0,0,15.43225305,150.7378944,76.18951405,2367.989936,420.1448036,278.7234036,0,127.4375995,0,416.9625182,0,203.2622146,39.56603262,33.07016407,0,0,0,0,0,0,19.8342683,0,0,0,400.4827977,0,0,51.25794087,250.8429807,0,0,103.8036035,0,0,163.3678578,0,0,0,332.3323002,39.31200194,0,0,0,0,369.1688793,0,0,0,0,0,0,0,325.1860223,0,0,0,343.635594,0,0,0,0,87.60614676,0,0,0,0,0,0,121.1473021,328.5256,808.8550252,88.67345839,0,184.6002105,1299.841446,0,0,0,0,0,0,0,929.592281,0,0,0,0,0,0,0,0,0,0,0,0,0,97.75533437,0,1245.923774,0,0,50.51694174,0,0,90.88664584,108.9890135,147.0580588,0,95.4779837,0,0,106.9268755,97.12370077,0,0,0
57310,npr-3,WBGene00007006,2,218.0232176,0,9.254151194,29.37821241,0,27.05753822,51.02746156,37.78813452,243.7152345,34.92932041,201.6120756,0,0,106.6414358,0,0,0,0,8.312331314,0,0,466.01076,0,0,0,0,147.4745819,0,11.63104177,0,82.49877314,0,0,0,0,0,0,0,0,109.4232923,31.45474332,251.55079,0,111.688732,0,50.51152454,0,45.08088363,0,0,0,42.48864262,0,0,0,0,0,0,0,0,0,0,27.47850144,0,0,0,21.57944434,0,0,0,0,84.67286163,0,55.59923082,47.30327935,0,0,0,0,0,0,114.4161284,0,0,104.6679827,0,0,0,0,0,41.64057105,81.48860932,0,13.69561519,0,0,0,0,124.3103894,0,4.399607867,0,0,49.41413117,0,0,44.46082788,16.05380008,0,50.24426405,0,58.24508254,0,17.7916182,28.84516122,33.49598695,123.469211,184.3933025,90.06305001,0,33.06569406,0,0,0,0,0,0,0
75212,daf-38,WBGene00013642,2,64.93702845,93.68246412,0,212.244579,0,0,20.48533296,20.49159653,133.9504753,28.77521969,32.82190119,0,52.99248381,0,86.09377767,0,34.69228636,31.36586784,14.02414849,107.6595689,42.4070908,0,30.63441476,74.89897173,0,0,182.5543593,0,50.25145061,0,81.70888881,0,21.37443641,0,42.98970142,0,0,42.95498695,0,225.4835289,21.20851364,0,32.24397243,73.15308059,0,0,27.2023255,0,39.87271499,0,0,0,15.19997678,23.74873554,116.1285623,20.33406521,0,45.95629489,0,18.59306284,43.05407125,0,0,0,38.48022429,0,0,0,0,0,0,0,0,0,83.34488688,0,0,0,98.95452971,0,48.39140934,217.7539256,0,0,0,832.1792995,28.25930596,13.89472084,0,0,0,0,93.62881442,0,83.6078565,176.3757032,94.1682684,29.82321839,12.42599896,96.23777221,9.999980336,0,0,0,0,0,75.73767972,68.40236757,204.3139521,0,0,0,0,0,13.17687626,0,61.91744406,126.0520275,75.02810222,43.71573725,0,0,0,0,0,0,0,0
79212,npr-26,WBGene00011372,2,44.06633437,0,191.9239987,573.5620734,0,0,0,78.17378542,415.7949216,0,110.2240656,184.4133575,0,0,0,0,19.15561953,271.6500101,152.1098679,378.9760843,154.2708694,32.30172236,0,0,0,0,0,0,132.8601874,0,0,669.00469,0,0,0,15.29846874,357.5142896,0,0,373.8692771,100.2360096,0,0,0,0,0,0,0,0,0,682.2138752,174.8233397,0,58.9736845,636.6297541,0,0,85.58541978,0,0,0,0,86.88396402,0,106.9947779,0,0,0,0,33.36917248,0,0,0,0,0,0,99.58611245,0,0,0,82.99853274,433.2303471,33.63655779,0,0,0,580.3651434,11.12603684,288.3747807,0,0,60.97927879,0,44.90281404,65.26056884,0,152.9102278,0,0,47.4721263,20.4714627,0,0,0,0,0,0,8.782099445,0,0,0,0,0,0,0,0,0,0,378.955862,0,0,0,0,0,0,0,0,0
89310,ckr-2,WBGene00021439,2,107.3609734,0,0,0,0,0,27.5912138,0,0,8.124512976,104.8034208,41.06173465,0,0,0,0,0,0,54.68854589,16.30465064,0,0,0,0,127.468581,0,14.60508561,21.52706191,0,70.5043627,0,0,0,0,0,0,0,0,0,0,0,26.93839647,0,24.88243233,664.1223273,213.8114957,173.9926925,0,34.75482657,169.3198327,0,0,0,0,16.1112976,0,0,0,0,0,21.53317782,228.260235,5.469715087,0,35.94762349,0,0,0,0,0,0,0,0,4.447967981,0,0,0,0,0,0,0,0,0,0,0,20.05799642,9.698427317,0,12.80405893,0,32.2024455,212.0689605,0,11.25504328,66.74423927,120.2028725,61.70167774,120.836272,53.05131948,0,11.31482166,89.94897709,0,141.9114179,0,0,60.04905352,0,46.77721337,0,0,0,0,18.03759083,16.11143888,148.9031954,0,0,25.82162731,0,33.46145445,341.6860395,173.845572,173.3279576,174.4115338,0,0,64.35803531
93810,daf-2,WBGene00000898,2,22.5740245,9.91010659,9.748414189,20.23222283,12.70706345,21.97744378,8.11787554,180.73061,8.642524016,19.65371861,20.11630806,10.01616774,7.260477196,0,53.02296722,40.16109813,45.8616228,15.22975466,27.62038538,12.42672148,27.7975378,14.09596844,30.37756195,43.82148547,14.55671631,0,93.93160023,8.303565309,76.33281827,75.74253739,24.66731429,26.25715228,0,47.97427095,15.05489902,15.14721737,4.974267938,34.22658586,11.22950583,93.21018104,32.80641083,8.483434338,9.835088666,90.23135902,0,37.41299076,23.96450882,0,16.40129788,11.65513115,0,98.1038529,10.78695901,0,41.22792065,14.15555534,34.65686912,0,0,10.78669422,3.068363218,0,60.81628272,32.31700698,0,40.61078622,57.96617107,75.53968361,33.80781545,22.16435764,0,0,66.60386195,0,152.0373033,6.646058473,0,0,5.114115038,5.178131772,18.11645644,19.61357101,6.995731251,9.251867665,0,23.3475588,7.823785666,23.86738025,124.1969314,18.96660627,7.424167942,41.8918399,33.08180336,19.27366629,6.735066294,32.63677171,23.52002266,24.54799964,22.73659804,105.3726818,0,26.77027568,57.59304132,14.62173546,0.809195431,0,1.367515689,0,45.16429859,0,5.143700413,29.05976167,7.443732832,0,14.82942604,28.15196331,6.999457856,6.896159724,15.84929541,0,15.09356396,19.02810857,29.50455543,14.46711034,10.25046998,6.324072235,10.8219921,8.415092078
128610,pdfr-1,WBGene00015735,2,39.86228514,68.64975449,126.1583246,17.16764201,27.58476552,548.6151804,131.3325793,763.2478814,61.55646539,74.80771475,104.0293191,129.3939793,89.3282849,493.4676234,111.6707248,129.5172523,535.9349344,312.6428007,183.9082525,250.4895096,66.37865031,0,217.5605438,208.7231729,156.0701589,76.46162352,89.0727015,84.97755356,81.07151847,295.5802866,7.564342675,39.64951524,22.92022552,0,85.61689909,7.788744391,214.3397355,331.559907,289.7368915,82.63564271,85.58408322,0,85.02446428,181.6311426,26.34267183,137.4875747,102.4389118,97.86107991,43.52613747,42.29448416,0,211.0530314,125.0648465,0,0,0,0,0,0,0,32.45976711,296.1707888,0,0,0,0,0,0,0,96.15674755,31.16559194,220.1833527,80.71516456,12.09053154,73.77903016,576.3085638,324.7932651,184.0863971,80.57673394,137.8665057,132.20186,61.08315268,29.80776954,8.349224355,365.7758262,65.93106848,74.51902117,97.65706828,12.46380165,167.9253653,137.1600034,558.3147904,79.48038003,233.5800154,234.061548,511.5212008,75.05804271,354.3533909,57.00525889,0,76.9498994,86.65377525,244.0984409,154.0679441,221.4828775,80.48178564,36.18783084,100.5788419,46.15745733,255.5750739,83.99456743,72.91613227,85.62464092,105.198121,292.3779362,169.6702915,0,26.23487822,194.9892114,686.7309997,113.3809113,9.792868401,100.5182557,90.19321183,91.54891658,0,0,100.3680246
15092,tkr-1,WBGene00006576,2,83.22964875,0,0,56.29768613,0,0,36.2162229,0,188.2023532,93.01731082,0,0,0,0,0,0,0,0,26.42625982,0,0,48.98015062,98.31164088,0,0,0,0,0,125.8670772,0,0,0,0,0,0,0,0,0,0,0,68.83734624,0,0,0,82.42833071,0,52.42317647,60.12061809,0,0,0,539.9111136,0,0,0,0,0,0,0,0,0,341.0115159,223.0873518,0,0,0,0,116.4955731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.1125423,0,0,0,3.01592867,0,0,70.92960413,42.36196278,0,0,210.3922907,89.07223076,0,0,168.6635422,227.4837714,0,0,199.9637298,150.8431354,0,0,48.72292643,113.7511508,0,0,0,0,0,0,51.98567464,42.16169459,486.4292291,0,0,0,101.3840248,0,49.75156212,0,0,0,0
