,gene_name,X,threshold,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN,AQR,AS,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC_OFF,AWC_ON,BAG,BDU,CAN,CEP,DA,DA9,DB,DB01,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PLN,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,URA,URB,URX,URY,VA,VA12,VB,VB01,VB02,VC,VC_4_5,VD_DD
26611,nlp-16,WBGene00003754,2,793.9809581,0,71.17857129,0,85.53114836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.558236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1787.210006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.68372483,1516.253128,0,0,10.37578986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.98155061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.0394659,0,0,0,0,0,0,0,0
41810,nlp-60,WBGene00017236,2,199.0064152,0,0,474.9933176,216.8475929,0,0,0,0,0,0,0,0,0,0,0,0,1157.253264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.43467862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.45616747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64910,flp-9,WBGene00001452,2,439.2784455,40632.56577,0,0,0,9820.035928,0,8975.447233,0,3920.213978,0,6539.420814,0,0,1080.047353,1202.550116,900.4156707,3942.747609,0,569.2681378,1551.856938,0,861.483617,1604.45765,734.5277542,75446.22886,655.5255291,2114.555878,393.2416441,0,1351.639937,0,0,0,0,837.5541735,2097.703807,5054.903722,13348.24303,0,18447.12408,0,695.1446671,1069.435743,0,18213.69496,22287.20096,0,1458.238593,0,0,466.4817552,377.6506461,0,96.66778561,0,0,0,3123.784487,1545.923222,22814.52008,3254.765887,0,0,0,0,0,0,0,0,1301.882656,3690.494901,249.9621668,0,953.4799355,10333.8124,7620.903714,0,1519.941432,0,3424.543994,2845.676999,1338.634763,361.9792176,18894.96241,7352.616377,2384.92868,0,6916.960234,829.2757148,668.6093654,124622.4587,1419.2055,927.6747659,4840.006157,0,3228.983742,807.0455775,3423.040952,7724.012365,129.8534937,55358.26674,2602.764637,75920.18341,657.7557321,1336.354176,2071.24,483.0930728,1306.766804,3199.175431,819.7383192,11226.758,22433.16452,23472.32277,1192.22329,54637.81266,0,4640.71262,3358.681729,0,7411.148688,0,13195.34106,23607.72613,21556.58466,18128.19799,0,2617.000708
100310,nlp-10,WBGene00003748,2,304.1487967,125.592875,0,432.9087838,0,320.7611759,0,1133.435325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681.320588,671.0654809,88.53310755,859.370364,1577.411697,0,2125.11635,0,583.972583,0,0,0,0,207.878481,1396.142503,0,1132.048883,0,0,0,0,0,0,0,0,0,1455.746946,1437.139724,197.8438452,0,0,616.9093076,0,0,0,0,134.1158519,0,968.5900127,49.42665085,0,0,0,0,0,0,2006.543402,0,0,0,0,0,0,0,0,1504.544692,281.3158243,445.8421331,0,1161.300001,943.9812878,3281.666197,4284.468094,73721.98088,0,0,0,0,3115.365742,0,0,0,0,0,0,1361.9853,0,0,0,0,51.03047738,2711.264689,0,88.30648693,0,4587.178942,0,0,0,0,0,2425.919031,0,0,0,0,0,0,0,0,0,0
105410,ins-17,WBGene00002100,2,651.5058711,0,0,0,61.58328298,0,0,0,2156.535116,0,21158.00263,0,0,1497.403095,0,0,0,0,0,128.8711266,0,0,0,0,0,0,102.8967901,1134.584644,0,880.5122417,0,0,0,0,0,0,0,80.9844881,0,0,0,0,0,0,0,0,0,0,0,227.9327775,0,945.8352149,0,0,0,278.5102311,0,0,0,0,0,1011.479959,0,811.7917392,0,496.031746,607.8079569,0,1576.058769,0,0,0,0,0,0,341.9164258,279.1086559,0,0,3083.10664,30.90586976,0,0,0,0,0,0,0,0,0,0,0,0,1505.491216,2707.014107,0,0,0,0,154.1245917,0,0,0,0,0,0,432.5622263,0,1722.616308,0,0,0,125.6304079,0,4154.455668,0,0,0,0,0,0,0,0,0,0,0,53.78839083,0
129810,pdf-1,WBGene00020317,2,718.2532253,0,476.8379158,0,0,0,4969.386225,38054.98083,0,93251.38066,0,0,0,0,2198.763243,0,555.0785642,0,0,0,0,0,1148.097372,0,0,96286.18433,0,0,0,0,42891.29169,0,14264.25322,0,0,840.2588372,0,0,0,998.2899805,0,205.3934504,0,0,0,2143.834139,0,0,0,0,0,67.17464918,0,0,0,0,0,0,0,0,0,2710.208053,0,0,0,936.5932753,0,0,0,0,0,230.5852556,0,0,0,0,0,0,0,311.8046167,1157.291614,8059.457151,0,0,12035.29311,75568.93922,1216.736726,0,46103.10049,0,0,98336.99889,734.1377597,157972.3284,22567.56187,0,820.6737852,0,0,804.3782819,0,6589.583354,1369.322396,543.3309047,0,0,1128.960509,23792.56453,13703.16465,14798.88527,103.942738,99006.71624,3271.112467,472.285619,1839.304907,4014.096809,0,2520.619704,0,0,0,0,0,0,0,0,0,0
15081,flp-25,WBGene00010575,2,3085.997982,0,0,3347.28435,0,0,0,0,0,0,0,0,0,0,464.4208055,0,0,0,0,243.6973419,0,0,0,0,0,0,1012.102549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.5768831,245.5637758,0,0,0,0,0,441.504452,0,0,0,0,0,0,0,0,0,0,0,0,1263.471492,1089.519261,471.6688239,0,0,0,354.4290012,454.8833659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.9705819,0,0,0,0,0,0,0,0,0
16593,nlp-21,WBGene00003759,2,316.4251284,0,108.626765,145.7350237,123.8471795,389.2311782,28117.19071,596.4046012,377.8253071,0,0,476.1494268,0,0,423.2710844,12892.2494,243.0478626,3820.749902,0,0,723.3652059,8248.124825,0,20042.41699,20640.20987,23569.46226,2863.132151,47024.85948,0,303.1819232,997.3625891,4594.732554,687.6541386,9688.239027,0,441.5862466,0,537.1385879,159.3011469,1175.396318,2678.517193,0,0,9443.215031,23390.93596,14576.27545,4702.407034,0,432.9622054,262.4819143,2051.264251,0,0,0,574.1421155,0,0,0,0,0,1626.502835,1455.369044,0,0,0,0,0,0,0,0,930.6068472,0,1717.437509,0,0,7845.091474,0,0,0,0,2621.822235,3073.684589,0,0,1426.318224,0,3631.739959,0,0,0,343.490923,0,6592.970738,24672.67378,24667.99475,37653.18373,240.1065962,10662.39051,1403.243299,697.3575931,0,701.3220898,8059.634817,5369.332292,551.0087784,0,7571.524058,772.3191663,11186.42656,1331.837055,5535.681446,559.4748149,0,1248.335623,469.3863413,6467.236567,0,859.7435366,7682.745332,1037.425194,14817.50041,36122.49576,9688.85798,8460.798069,7538.035583,0,1376.438324,0
18441,pdf-2,WBGene00018590,2,1413.496048,0,0,0,0,6454.847994,0,95.21866042,0,19348.80052,0,0,0,0,0,0,0,0,0,0,93.76137596,0,0,0,0,0,0,0,0,0,1687.201966,0,0,0,0,0,0,0,0,0,1986.154472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.7649819,0,492.3101502,3494.795593,661.8832868,0,0,0,0,2923.080664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19091,snet-1,WBGene00015354,2,34209.84038,0,0,20299.43499,0,0,287457.519,109933.7924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44544.28795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4364.49576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.2568502,0,80.85188675,0,0,0,0,0,0,0,0,0,0,0,0,0,11776.13038,0,21857.7536,0,0,2675.873,0,0,0,0,0,22669.54404,0,0,2907.480004,0,0,0,0,0,0,0,50403.01677,0,0,6408.319812,0,0,0,0,0,0,0,37375.33423,0,0,0,0,0,0,0,0
