GPCR ID,GPCR name,Peptide,log EC50 (M),95% Confidence Interval,EC50 (M),,,,
B0334.6-1,NPR-41-1,NLP-13-1,-6.949,-7.080 to -6.818,1.125E-07,,,,
B0334.6-1,NPR-41-1,NLP-13-2,-6.485,-6.762 to -6.209,3.271E-07,,,,
B0334.6-1,NPR-41-1,NLP-13-4,-6.423,-6.638 to -6.208,3.779E-07,,,,
B0334.6-1,NPR-41-1,NLP-13-5,-6.937,-7.141 to -6.732,1.157E-07,,,,
B0334.6-1,NPR-41-1,NLP-13-6,-7.290,-7.464 to -7.115,5.134E-08,,,,
B0334.6-1,NPR-41-1,NLP-13-7,-7.267,-7.471 to -7.062,5.414E-08,,,,
B0334.6-1,NPR-41-1,pyroNLP-13-3,-8.047,-8.248 to -7.846,8.973E-09,,,,
C01F1.4-1,NPR-42-1,NLP-3-3,-6.340,-6.421 to -6.258,4.575E-07,,,,
C10C6.2-1,NPR-3-1,FLP-15-1,-7.782,-7.950 to -7.614,1.652E-08,,,,
C10C6.2-1,NPR-3-1,FLP-15-2,-7.939,-8.067 to -7.810,1.152E-08,,,,
C10C6.2-1,NPR-3-1,FLP-15-3,-6.646,-6.775 to -6.516,2.261E-07,,,,
C13B9.4-1,PDFR-1-1,NLP-37-1,-7.025,-7.097 to -6.952,9.444E-08,,,,
C13B9.4-1,PDFR-1-1,PDF-1-1,-6.224,-6.295 to -6.154,5.965E-07,,,,
C13B9.4-1,PDFR-1-1,PDF-1-2,-5.797,-5.925 to -5.670,0.000001595,,,,
C16D6.2-1,NPR-4-1,FLP-18-1,-6.625,-6.725 to -6.526,2.369E-07,,,,
C16D6.2-1,NPR-4-1,FLP-18-2,-7.196,-7.312 to -7.080,6.374E-08,,,,
C16D6.2-1,NPR-4-1,FLP-18-3,-7.131,-7.203 to -7.058,7.404E-08,,,,
C16D6.2-1,NPR-4-1,FLP-18-4,-7.185,-7.255 to -7.116,6.526E-08,,,,
C16D6.2-1,NPR-4-1,FLP-18-5,-7.076,-7.153 to -6.999,8.398E-08,,,,
C16D6.2-1,NPR-4-1,FLP-18-6,-6.228,-6.295 to -6.161,5.913E-07,,,,
C16D6.2-1,NPR-4-1,FLP-18-7,-6.693,-6.782 to -6.604,2.029E-07,,,,
C16D6.2-1,NPR-4-1,FLP-18-8,-7.701,-7.801 to -7.601,1.99E-08,,,,
C16D6.2-1,NPR-4-1,pyroFLP-18-2,-7.030,-7.137 to -6.923,9.336E-08,,,,
C16D6.2-1,NPR-4-1,pyroFLP-18-4,-6.446,-6.519 to -6.373,3.581E-07,,,,
C18B12.2-1,SEB-3-1,NLP-49-2,-7.206,-7.310 to -7.102,6.221E-08,,,,
C25G6.5-1,NPR-11-1,FLP-21-1,-5.821,-5.886 to -5.756,1.510E-06,,,,
C25G6.5-1,NPR-11-1,FLP-27-1,-5.230,-5.395 to -5.064,0.000005891,,,,
C25G6.5-1,NPR-11-1,FLP-27-3,-5.031,-5.329 to -4.733,0.000009307,,,,
C25G6.5-1,NPR-11-1,FLP-27-4,-5.343,-5.444 to -5.242,4.540E-06,,,,
C25G6.5-1,NPR-11-1,FLP-34-1,-7.881,-7.967 to -7.794,1.317E-08,,,,
C25G6.5-1,NPR-11-1,FLP-34-2,-7.704,-7.781 to -7.628,1.976E-08,,,,
C25G6.5-1,NPR-11-1,FLP-34-3,-7.580,-7.641 to -7.520,2.629E-08,,,,
C25G6.5-1,NPR-11-1,FLP-34-4,-6.448,-6.506 to -6.390,3.561E-07,,,,
C25G6.5-1,NPR-11-1,pyroFLP-27-3,-6.029,-6.102 to -5.956,9.351E-07,,,,
C25G6.5-1,NPR-11-1,pyroFLP-27-4,-5.336,-5.494 to -5.178,4.610E-06,,,,
C26F1.6-1,FRPR-3-1,FLP-20-1,-9.041,-9.117 to -8.965,9.090E-10,,,,
C26F1.6-1,FRPR-3-1,FLP-20-2,-9.055,-9.130 to -8.979,8.816E-10,,,,
C26F1.6-1,FRPR-3-1,FLP-20-3,-8.791,-8.897 to -8.685,1.619E-09,,,,
C30F12.6-1,TRHR-1-1,NLP-54-1,-9.137,-9.259 to -9.014,7.296E-10,,,,
C30F12.6-1,TRHR-1-1,NLP-54-2,-9.398,-9.494 to -9.302,4.000E-10,,,,
C35A11.1-1,DMSR-7-1,FLP-1-1,-9.304,-9.634 to -8.974,4.967E-10,,,,
C35A11.1-1,DMSR-7-1,FLP-1-10,-9.693,-10.17 to -9.214,2.027E-10,,,,
C35A11.1-1,DMSR-7-1,FLP-1-2,-9.882,-10.19 to -9.570,1.312E-10,,,,
C35A11.1-1,DMSR-7-1,FLP-1-3,-9.242,-9.497 to -8.987,5.731E-10,,,,
C35A11.1-1,DMSR-7-1,FLP-1-4,-10.280,-10.54 to -10.03,5.230E-11,,,,
C35A11.1-1,DMSR-7-1,FLP-1-5,-9.943,-10.25 to -9.637,1.140E-10,,,,
C35A11.1-1,DMSR-7-1,FLP-1-6,-8.678,-8.855 to -8.500,2.101E-09,,,,
C35A11.1-1,DMSR-7-1,FLP-1-7,-10.270,-10.77 to -9.764,5.425E-11,,,,
C35A11.1-1,DMSR-7-1,FLP-1-8,-5.747,-5.923 to -5.571,1.790E-06,,,,
