#source neuron, target neuron, transmitter, receptor
AIAL,AIAL,flp-1,npr-11
AIAL,AIAR,flp-1,npr-11
AIAR,AIAL,flp-1,npr-11
AIAR,AIAR,flp-1,npr-11
AIAL,AIYL,flp-1,npr-11
AIAL,AIYR,flp-1,npr-11
AIAR,AIYL,flp-1,npr-11
AIAR,AIYR,flp-1,npr-11
AIAL,AVAL,flp-1,npr-4
AIAL,AVAR,flp-1,npr-4
AIAR,AVAL,flp-1,npr-4
AIAR,AVAR,flp-1,npr-4
AIAL,BAGL,flp-1,npr-4
AIAL,BAGR,flp-1,npr-4
AIAR,BAGL,flp-1,npr-4
AIAR,BAGR,flp-1,npr-4
AIAL,BDUL,flp-1,npr-4
AIAL,BDUR,flp-1,npr-4
AIAR,BDUL,flp-1,npr-4
AIAR,BDUR,flp-1,npr-4
AIAL,PQR,flp-1,npr-4
AIAR,PQR,flp-1,npr-4
AIAL,RIVL,flp-1,npr-4
AIAL,RIVR,flp-1,npr-4
AIAR,RIVL,flp-1,npr-4
AIAR,RIVR,flp-1,npr-4
AIYL,AIAL,flp-1,npr-11
AIYL,AIAR,flp-1,npr-11
AIYR,AIAL,flp-1,npr-11
AIYR,AIAR,flp-1,npr-11
AIYL,AIYL,flp-1,npr-11
AIYL,AIYR,flp-1,npr-11
AIYR,AIYL,flp-1,npr-11
AIYR,AIYR,flp-1,npr-11
AIYL,AVAL,flp-1,npr-4
AIYL,AVAR,flp-1,npr-4
AIYR,AVAL,flp-1,npr-4
AIYR,AVAR,flp-1,npr-4
AIYL,BAGL,flp-1,npr-4
AIYL,BAGR,flp-1,npr-4
AIYR,BAGL,flp-1,npr-4
AIYR,BAGR,flp-1,npr-4
AIYL,BDUL,flp-1,npr-4
AIYL,BDUR,flp-1,npr-4
AIYR,BDUL,flp-1,npr-4
AIYR,BDUR,flp-1,npr-4
AIYL,PQR,flp-1,npr-4
AIYR,PQR,flp-1,npr-4
AIYL,RIVL,flp-1,npr-4
AIYL,RIVR,flp-1,npr-4
AIYR,RIVL,flp-1,npr-4
AIYR,RIVR,flp-1,npr-4
AVAL,AIAL,flp-1,npr-11
AVAL,AIAR,flp-1,npr-11
AVAR,AIAL,flp-1,npr-11
AVAR,AIAR,flp-1,npr-11
AVAL,AIYL,flp-1,npr-11
AVAL,AIYR,flp-1,npr-11
AVAR,AIYL,flp-1,npr-11
AVAR,AIYR,flp-1,npr-11
AVAL,AVAL,flp-1,npr-4
AVAL,AVAR,flp-1,npr-4
AVAR,AVAL,flp-1,npr-4
AVAR,AVAR,flp-1,npr-4
AVAL,BAGL,flp-1,npr-4
AVAL,BAGR,flp-1,npr-4
AVAR,BAGL,flp-1,npr-4
AVAR,BAGR,flp-1,npr-4
AVAL,BDUL,flp-1,npr-4
AVAL,BDUR,flp-1,npr-4
AVAR,BDUL,flp-1,npr-4
AVAR,BDUR,flp-1,npr-4
AVAL,PQR,flp-1,npr-4
AVAR,PQR,flp-1,npr-4
AVAL,RIVL,flp-1,npr-4
AVAL,RIVR,flp-1,npr-4
AVAR,RIVL,flp-1,npr-4
AVAR,RIVR,flp-1,npr-4
AVEL,AIAL,flp-1,npr-11
AVEL,AIAR,flp-1,npr-11
AVER,AIAL,flp-1,npr-11
AVER,AIAR,flp-1,npr-11
AVEL,AIYL,flp-1,npr-11
AVEL,AIYR,flp-1,npr-11
AVER,AIYL,flp-1,npr-11
AVER,AIYR,flp-1,npr-11
AVEL,AVAL,flp-1,npr-4
AVEL,AVAR,flp-1,npr-4
AVER,AVAL,flp-1,npr-4
AVER,AVAR,flp-1,npr-4
AVEL,BAGL,flp-1,npr-4
AVEL,BAGR,flp-1,npr-4
AVER,BAGL,flp-1,npr-4
AVER,BAGR,flp-1,npr-4
AVEL,BDUL,flp-1,npr-4
AVEL,BDUR,flp-1,npr-4
AVER,BDUL,flp-1,npr-4
AVER,BDUR,flp-1,npr-4
AVEL,PQR,flp-1,npr-4
AVER,PQR,flp-1,npr-4
AVEL,RIVL,flp-1,npr-4
AVEL,RIVR,flp-1,npr-4
AVER,RIVL,flp-1,npr-4
AVER,RIVR,flp-1,npr-4
AVKL,AIAL,flp-1,npr-11
AVKL,AIAR,flp-1,npr-11
AVKR,AIAL,flp-1,npr-11
AVKR,AIAR,flp-1,npr-11
AVKL,AIYL,flp-1,npr-11
AVKL,AIYR,flp-1,npr-11
AVKR,AIYL,flp-1,npr-11
AVKR,AIYR,flp-1,npr-11
AVKL,AVAL,flp-1,npr-4
AVKL,AVAR,flp-1,npr-4
AVKR,AVAL,flp-1,npr-4
AVKR,AVAR,flp-1,npr-4
AVKL,BAGL,flp-1,npr-4
AVKL,BAGR,flp-1,npr-4
AVKR,BAGL,flp-1,npr-4
AVKR,BAGR,flp-1,npr-4
